,control,magnetisation,mag_se,beta_factor,gradient,samp_frac,snapshot_num
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,10.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,10.0
2,snapshot,-0.5896238050165641,8.822912910488894e-06,8.0,1.0,0.001,10.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5751962612399432,1.389079993836462e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5778478939895882,1.4763732945265005e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5817432763166791,2.5097637362112697e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5855005746737881,1.162891450369715e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5864319518626191,8.120047452985313e-06,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5872285511459671,2.0561671619792036e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5814872287201677,2.1176474817683383e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5783351227097558,1.2258904662299418e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5808215604083564,2.2795637303887443e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,11.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,11.0
2,snapshot,-0.5825737745926577,1.2497964927874554e-05,8.0,1.0,0.001,11.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.574909485497938,2.250384170941411e-05,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5805004732607667,2.4042436463731064e-05,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5837374890135894,7.779456110349045e-06,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5814666215942127,2.0799679746625048e-05,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5908743154621053,3.0860819642012024e-05,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5786487593807046,7.287020910219089e-06,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5752134135623013,1.017126474505457e-05,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5891114393888175,9.510466567336856e-06,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5783724967885876,8.335393701516127e-06,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,12.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,12.0
2,snapshot,-0.5758680954634576,7.1890978675567746e-06,8.0,1.0,0.001,12.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5709566425529039,7.934721566002684e-06,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5746861672638767,1.580844283633728e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5841177202352783,1.341284086067047e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5815815293083633,1.1989505612126924e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.579325285646677,1.5201065409498399e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5859177202352782,1.0043441633532797e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5741677303765803,1.0649283437535828e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5797253329727536,6.661196355552463e-06,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5836088634980732,1.7921233651086485e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,13.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,13.0
2,snapshot,-0.5776593198566695,1.3838223917567278e-05,8.0,1.0,0.001,13.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5832350010141302,2.3743336310390895e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5862539449665337,1.4333302905478674e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5862347643837469,2.0283329983641468e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5838406328172537,1.5195643000168182e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5738287134068014,2.727257196281512e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5853285241024948,1.4292737686105524e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5820833276992765,1.4288463077632852e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5880460753160707,8.835046624377062e-06,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5869144141707795,2.1115264049289087e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.001,14.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.001,14.0
2,snapshot,-0.5787253735379624,1.631325450418488e-05,8.0,1.0,0.001,14.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.585792143871273,1.1530282307198878e-05,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5787331823406124,8.073822759608431e-06,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5848601649651815,1.3623231648588483e-05,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5911448515989454,1.9274045879175105e-05,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5826579812047867,8.880702775067485e-06,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5781438442295991,9.01055939961241e-06,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5847526739233317,9.591544906623972e-06,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5779250219728213,1.2271812305840928e-05,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5957945507403151,1.6944028246720473e-05,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,0.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,0.0
2,snapshot,-0.5907878439591645,2.3845352184768422e-05,8.0,1.0,0.1,0.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5834740720708539,8.36078230688152e-06,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5747485362720574,3.023172195252455e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5741083226286255,1.3158103672827611e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5691666283550808,1.106597545401008e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5862902237847338,1.7523426825839766e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.580727543776621,3.1322266042014254e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5717251233858427,1.985931961337414e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5762108647150294,2.2613628241354672e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.576729119058887,1.3847043980285046e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,1.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,1.0
2,snapshot,-0.5835423297951456,2.3287318768642985e-05,8.0,1.0,0.1,1.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5895699479413157,6.5298899270899205e-06,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5833480832938949,1.6548120772776225e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5939792170914745,1.2128394553219653e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5738625785950915,2.0715863434938365e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5772031573254006,1.6661673128856188e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5870315056453248,1.5628935880173438e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5887791292001894,7.789852890261118e-06,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.578684064633899,2.373679272305867e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5867142992360219,1.4425975445803209e-05,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,2.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,2.0
2,snapshot,-0.5844490771415048,5.986212959148125e-06,8.0,1.0,0.1,2.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5817157122574539,1.1448709082894604e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5871140761273748,7.718718085461888e-06,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5727622811168954,1.1868282357158786e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5830833209384085,9.995826894131045e-06,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5779595970522615,1.3256491244202509e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5828826854168075,1.1005001642739991e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5865675951592184,1.2739546151807005e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5811215198431479,2.1597280977365923e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5801111216280171,7.622358543834647e-06,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,3.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,3.0
2,snapshot,-0.5773086065850855,1.1220978770255038e-05,8.0,1.0,0.1,3.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5899692448110337,8.421608907462911e-06,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.589620958691096,1.108694354913426e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5802368061659118,1.1942892010069965e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5865094314109931,1.4051843887562856e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5842362044486512,1.3147205263480319e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5791075654113989,2.3797597819417002e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.577003961868704,1.1728956800026766e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5845243864512204,1.369680398679186e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5897300182543439,8.860268765488806e-06,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,4.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,4.0
2,snapshot,-0.5757053275640592,2.3404147268937735e-05,8.0,1.0,0.1,4.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.581597451152728,1.2331756445711008e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.58544121425191,1.397594923561124e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5781755391792307,7.703020807892361e-06,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5756017645865729,6.644496350895225e-06,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5780168886485024,1.672808318731915e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5880738557230748,1.442150915261473e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5913357785139611,1.3567276998705527e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.586387458589683,1.23804738031244e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5811272057332162,1.0023436118085139e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,5.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,5.0
2,snapshot,-0.5762498749239402,1.0769462148957624e-05,8.0,1.0,0.1,5.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5724922047190859,8.452591677799372e-06,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5811899871543507,1.5293637058655788e-05,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5786798661348117,8.842273130006524e-06,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5732129943884795,1.4513363887880262e-05,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5727193631262254,7.848307744834868e-06,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5791574673788115,1.7524526137780262e-05,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5806294706240281,1.5623497427344763e-05,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
1,unif,-0.5725533229666688,3.078631499156743e-05,8.0,1.0,0.1,6.0
2,snapshot,-0.5937249611250085,7.463467030635898e-06,8.0,1.0,0.1,6.0
0,no con,-0.609639666013116,9.89272810598293e-06,8.0,1.0,0.1,6.0
